2019-20 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Franklin County Regional Vocational Technical,08180000,     300,  12.9,        505,  35.6,  64.4,    .2,  32.1,  38.8
Freetown-Lakeville,06650000,     980,  19.0,"      2,813",  48.6,  51.4,    .6,  16.3,  18.1
Frontier,06700000,     540,  12.6,        647,  46.2,  53.8,   1.1,  17.6,  19.2
Gardner,01030000,     833,  17.8,"      2,275",  46.7,  53.3,   5.9,  22.4,  52.9
Gateway,06720000,     576,  14.3,        834,  48.4,  51.6,   2.2,  20.6,  34.8
Georgetown,01050000,     656,  15.0,"      1,374",  49.4,  50.6,    .0,  16.6,   9.3
Gill-Montague,06740000,     493,  14.4,        890,  49.3,  50.6,   7.2,  25.2,  48.1
Global Learning Charter Public (District),04960000,     365,  15.0,        507,  51.9,  48.1,   9.5,  12.2,  55.8
Gloucester,01070000,"   1,052",  17.5,"      2,897",  47.6,  52.4,   7.7,  25.9,  39.4
Gosnold,01090000,       0,    .0,          0,    .0,    .0,    .0,    .0,    .0
Grafton,01100000,"   1,515",  19.7,"      3,224",  47.8,  52.2,   1.9,  19.5,  13.7
Granby,01110000,     392,  15.2,        764,  47.0,  53.0,   4.8,  18.3,  29.1
Greater Fall River Regional Vocational Technical,08210000,     896,  15.8,"      1,419",  44.5,  55.5,   1.3,  10.0,  38.1
Greater Lawrence Regional Vocational Technical,08230000,"   1,720",  15.5,"      1,584",  49.5,  50.4,  12.9,  17.4,  58.7
Greater Lowell Regional Vocational Technical,08280000,"   1,432",  18.4,"      2,241",  46.7,  53.0,   7.8,  18.5,  45.7
Greater New Bedford Regional Vocational Technical,08250000,"   1,972",  15.1,"      2,113",  48.0,  52.0,   3.6,  10.5,  41.2
Greenfield,01140000,"   1,063",  16.1,"      1,745",  47.7,  52.3,   5.5,  17.5,  52.8
Greenfield Commonwealth Virtual District,39010000,     244,  18.0,        687,  55.5,  43.7,   3.8,  26.5,  57.8
Groton-Dunstable,06730000,"   1,029",  19.0,"      2,370",  48.0,  51.9,   1.0,  16.8,   7.2
Hadley,01170000,     434,  16.3,        540,  47.4,  52.6,   5.6,  14.1,  22.8
Halifax,01180000,     240,  21.1,        588,  48.3,  51.7,   1.0,  15.7,  19.6
Hamilton-Wenham,06750000,     948,  18.5,"      1,847",  52.5,  47.5,    .8,  17.3,   7.2
Hampden Charter School of Science East (District),04990000,     224,  19.1,        523,  50.7,  49.3,   4.0,  11.3,  44.9
Hampden Charter School of Science West (District),35160000,     125,  16.9,        257,  46.7,  53.3,   8.6,  17.5,  49.0
Hampden-Wilbraham,06800000,"   1,164",  18.2,"      3,037",  49.9,  50.1,   1.4,  15.6,  17.6
Hampshire,06830000,     547,  12.9,        737,  54.3,  45.6,   1.6,  23.6,  17.4
Hancock,01210000,      76,   5.9,         49,  53.1,  46.9,    .0,  26.5,  24.5
Hanover,01220000,"   1,701",  18.7,"      2,670",  48.2,  51.8,    .9,  18.7,   8.6
Harvard,01250000,     559,  15.7,"      1,057",  50.6,  49.3,   1.0,   9.9,   6.6
Hatfield,01270000,     300,  13.7,        436,  49.1,  50.7,    .2,  21.3,  14.5
Haverhill,01280000,"   4,281",  19.0,"      8,252",  47.8,  52.1,   9.5,  22.2,  50.6
Hawlemont,06850000,      44,  14.6,        143,  57.3,  42.7,   3.5,  30.1,  49.0
Helen Y. Davis Leadership Academy Charter Public (District),04190000,     103,  16.4,        202,  49.0,  51.0,   6.4,  19.8,  63.9
Hill View Montessori Charter Public (District),04550000,     121,  21.2,        317,  52.7,  47.3,   8.2,  18.9,  20.8
Hilltown Cooperative Charter Public (District),04500000,      55,  26.3,        218,  50.5,  49.1,    .0,  18.4,  17.4
Hingham,01310000,"   1,964",  18.0,"      4,290",  48.4,  51.6,    .4,  13.4,   5.8
Holbrook,01330000,     606,  19.0,"      1,319",  47.6,  52.3,   6.0,  17.7,  34.3
Holland,01350000,      59,  18.6,        233,  46.4,  53.7,    .0,  14.2,  31.8
Holliston,01360000,"   1,561",  16.5,"      2,919",  48.1,  51.9,   2.4,  16.4,   7.8
Holyoke,01370000,"   2,245",  17.5,"      5,339",  47.1,  52.9,  21.4,  27.1,  78.9
Holyoke Community Charter (District),04530000,     187,  23.0,        701,  51.5,  48.5,  13.4,  21.5,  69.8
Hoosac Valley Regional,06030000,     684,  15.8,"      1,147",  49.6,  50.4,   1.7,  24.8,  50.5
Hopedale,01380000,     585,  15.7,"      1,096",  48.5,  51.5,   2.7,  20.4,  13.5
Hopkinton,01390000,"   1,991",  20.0,"      3,911",  49.2,  50.8,   6.5,  12.2,   5.7
Hudson,01410000,"   1,269",  18.3,"      2,589",  51.1,  48.9,  12.2,  16.2,  25.8
Hull,01420000,     549,  13.1,        857,  46.8,  53.1,   1.1,  20.5,  31.7
Innovation Academy Charter (District),04350000,     415,  19.3,        795,  51.8,  48.1,   2.5,  20.9,  14.7
Ipswich,01440000,     953,  16.9,"      1,697",  51.0,  49.0,   2.4,  17.4,  15.9
KIPP Academy Boston Charter School (District),04630000,     106,  33.4,        612,  48.5,  51.5,  20.8,  20.9,  67.8
KIPP Academy Lynn Charter (District),04290000,     553,  23.9,"      1,600",  50.8,  49.3,  14.7,  12.6,  53.7
King Philip,06900000,     938,  17.7,"      1,978",  49.4,  50.5,    .3,  14.3,  10.2
Kingston,01450000,     385,  21.8,"      1,080",  48.2,  51.7,   3.2,  17.5,  17.9
Lawrence,01490000,"   5,128",  19.5,"     13,785",  47.3,  52.4,  37.1,  18.6,  75.3
Lawrence Family Development Charter (District),04540000,     392,  19.0,        778,  55.8,  44.2,  25.7,   9.3,  63.5
Lee,01500000,     440,  13.4,        705,  48.2,  51.6,   4.7,  14.3,  32.6
Leicester,01510000,     631,  19.6,"      1,512",  46.2,  53.6,   4.2,  16.7,  27.8
Lenox,01520000,     556,  13.4,        780,  49.0,  51.0,   2.6,  10.1,  17.8
Leominster,01530000,"   3,272",  19.3,"      6,188",  49.1,  50.8,  12.6,  22.9,  42.8
Leverett,01540000,      60,  17.4,        141,  42.6,  57.5,    .0,  11.4,  17.0
Lexington,01550000,"   2,898",  19.1,"      7,284",  48.9,  51.1,   8.9,  13.0,   6.1
Libertas Academy Charter School (District),35140000,      81,  22.5,        268,  49.3,  50.8,  34.3,  19.8,  79.9
Lincoln,01570000,     562,  16.2,"      1,128",  51.4,  48.6,   4.8,  18.6,   7.5
Lincoln-Sudbury,06950000,"   1,180",  17.7,"      1,522",  48.6,  51.5,    .7,  18.9,   6.2
Littleton,01580000,     837,  18.2,"      1,666",  51.6,  48.4,   2.2,  13.7,   7.5
Longmeadow,01590000,"   1,336",  18.9,"      2,880",  48.5,  51.5,    .8,  17.9,   9.1
Lowell,01600000,"   9,029",  18.9,"     14,847",  48.2,  51.8,  24.1,  18.0,  60.1
Lowell Community Charter Public (District),04560000,     230,  20.8,        807,  50.3,  49.6,  51.6,  17.7,  52.7
Lowell Middlesex Academy Charter (District),04580000,     101,  14.5,        100,  55.0,  45.0,   4.0,  33.0,  66.0
Ludlow,01610000,"   1,254",  16.3,"      2,558",  49.7,  50.2,   4.0,  16.1,  29.2
Lunenburg,01620000,     793,  20.5,"      1,677",  48.5,  51.5,   1.1,  16.0,  18.1
Lynn,01630000,"   5,454",  19.6,"     16,090",  47.2,  52.8,  30.8,  16.8,  61.9
Lynnfield,01640000,     768,  18.2,"      2,205",  50.4,  49.5,   2.6,  18.0,   8.1
MATCH Charter Public School (District),04690000,     355,  20.4,"      1,219",  52.3,  47.7,  19.1,  22.7,  63.7
Ma Academy for Math and Science,04680000,      24,  16.6,         50,  56.0,  42.0,    .0,    .0,    .0
Malden,01650000,"   2,690",  20.6,"      6,654",  47.9,  52.0,  19.5,  16.6,  49.3
Manchester Essex Regional,06980000,     684,  16.3,"      1,379",  49.1,  50.9,    .6,  15.9,  10.2
Mansfield,01670000,"   1,565",  17.3,"      3,698",  47.9,  52.1,   2.0,  14.2,  15.0
Map Academy Charter School (District),35170000,      46,  21.3,        167,  38.9,  61.1,    .6,  47.3,  50.3
Marblehead,01680000,"   1,679",  16.8,"      2,973",  48.9,  51.1,   4.0,  20.8,  10.1
Marblehead Community Charter Public (District),04640000,      84,  15.5,        206,  45.6,  53.9,   1.9,  25.7,  15.1
Marion,01690000,     152,  20.7,        443,  48.3,  51.7,    .9,  19.4,  19.9
Marlborough,01700000,"   2,330",  19.7,"      4,982",  47.9,  52.1,  26.6,  16.6,  42.1
Marshfield,01710000,"   1,412",  18.3,"      3,979",  48.2,  51.9,   1.4,  18.3,  13.0
Martha's Vineyard,07000000,     468,  12.1,        688,  47.2,  52.8,  12.5,  20.5,  32.0
Martha's Vineyard Charter (District),04660000,      61,  16.2,        180,  56.1,  43.9,   5.0,  30.0,  36.1
Martin Luther King Jr. Charter School of Excellence (District),04920000,     126,  19.9,        358,  49.4,  50.6,  25.7,  16.8,  76.8
Masconomet,07050000,     892,  16.7,"      1,722",  52.7,  47.3,    .2,  16.0,   6.5
Mashpee,01720000,     978,  15.7,"      1,608",  48.5,  51.5,   3.9,  15.3,  33.5
Mattapoisett,01730000,     201,  19.0,        444,  47.1,  52.9,    .2,  16.7,  17.8
Maynard,01740000,     797,  17.5,"      1,256",  47.9,  52.0,   4.7,  18.0,  18.6
Medfield,01750000,"   1,508",  17.6,"      2,615",  49.0,  51.0,    .8,  12.4,   6.2
Medford,01760000,"   1,927",  15.3,"      4,171",  47.6,  52.4,  11.2,  19.3,  32.9
Medway,01770000,"   1,039",  17.3,"      2,191",  50.5,  49.5,   1.3,  16.9,  10.6
Melrose,01780000,"   1,672",  20.6,"      4,021",  50.5,  49.5,   5.3,  15.2,  11.7
Mendon-Upton,07100000,"   1,032",  18.8,"      2,250",  49.8,  50.2,   2.2,  15.1,  10.1
Methuen,01810000,"   2,541",  19.9,"      6,958",  47.4,  52.6,  11.2,  17.9,  39.0
Middleborough,01820000,"   1,396",  20.3,"      3,047",  48.5,  51.5,   1.1,  18.7,  29.3
Middleton,01840000,     351,  15.2,        729,  52.0,  48.0,   1.8,  17.6,   8.8
Milford,01850000,"   1,850",  19.4,"      4,519",  47.5,  52.5,  20.7,  15.8,  42.2
